channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
ShoDesu,414627447,34700,610,58815,1527,49,14077028,1341066,634,0,58815
Rav,228875127,628000,679,137243,5533,373,12366375,172910,126,0,137243
enryu,201133562,27500,199,88425,2470,103,10465081,2544099,1294,1,88425
Sullla YouTube Channel,622624329,11800,1852,30584,305,80,59194644,2050709,372,3,30584
WizzkhalilaTV,244896340,1690,46,418,24,0,12865167,195695,204,0,418
Sumit 007,262904224,2450000,1986,1205883,67492,1193,15178423,389431,397,0,1205883
Alto,81995940,243000,194,941358,14080,1417,1626014,3065069,835,2,941358
Coach Rogue,374365696,84400,986,165142,6122,358,5116299,1548127,1045,2,165142
리플레이롤 League of Legends,217049084,112,46,3645,16,4,701181,25749646,2059,17,3645
Alpha GH,341800694,119,57,205,4,1,7914338,1363008,484,4,205
Broken By Concept,174856707,41800,1240,28876,615,176,4228398,546578,212,2,28876
Viva La Dirt League,462138122,7320000,3293,2145854,95447,3676,44240197,231942,187,0,2145854
Hextech Lab,143993003,65400,1022,299176,4819,160,12160205,3619434,1062,1,299176
프로관전러 P.S,249343332,550000,2570,144882,1244,661,26440142,208421,32,0,144882
PlayWithBlaire,178492995,1980,202,2122,29,1,7053721,847953,211,0,2122
League   Legends,124918779,237,991,101,0,0,1956341,337182,0,0,101
젠지 이스포츠 Gen.G Esports,265230688,182000,1767,142358,1077,46,22473398,618874,85,0,142358
Hashinshin,415956776,124000,669,34319,1486,142,6388278,218980,172,0,34319
Lathyrus,231083225,30900,1087,13197,428,25,23818370,337915,199,0,13197
Legends Esports,216385421,45200,1480,7253,94,17,7304464,126961,29,0,7253
Potent,150436890,32600,421,101771,2450,102,5665249,2470007,1083,1,101771
MoreCaseOh,85283422,2380000,1938,510589,15356,697,4089003,169740,93,0,510589
Bwipo,163149553,43200,133,30545,729,35,2352816,559433,243,0,30545
LoL Esports Latinoamérica,331045905,606000,4405,26896,740,34,29591750,35116,17,0,26896
Apex Legends Global Series,183801684,388000,1312,67605,1172,40,7711698,137860,43,0,67605
OTP - League of Legends,134834579,61400,937,120547,3237,83,8132285,1553387,759,0,120547
BoxBox VODs,112830567,8390,1048,1352,15,2,12359683,127498,25,0,1352
Onivia LCK LPL LEC LCS Highlights,374751549,407000,11064,21449,191,40,5488210,41696,6,0,21449
Nemesis,205351643,279000,724,528052,16333,509,11357778,1497491,843,0,528052
Yasuo Legends,345908697,119000,4923,1390,34,1,7843937,9241,4,0,1390
TolkinLoL,219587148,157000,3400,89692,2682,60,7159699,452007,246,0,89692
Aleksis007,257307437,15500,721,241443,6975,38,6658067,12324652,6486,1,241443
Teekon - League of Legends Channel,297097302,95,25,213,12,3,6171879,1773976,1820,15,213
Official dopa,312914101,777000,1614,454202,3075,186,28306789,462508,57,0,454202
Creator League,193494762,594000,2255,234198,2800,132,14818812,311952,67,0,234198
Disguised,76435712,79400,185,12070,566,8,1710198,120275,102,0,12070
ioki and Heiz,183382788,94600,1581,9200,359,47,18700700,76946,54,0,9200
KeshaEuw,199270301,344000,316,89846,4355,147,1893257,206648,182,0,89846
Legends of Runeterra,206765162,315000,372,2850643,42314,1928,17467747,7160181,1936,2,2850643
Rew,63135892,14000,60,153260,3619,379,5801397,8661488,3726,12,153260
LoL Skin LATAM,180523014,10800,1014,97629,2172,52,15939255,7152318,2898,2,97629
Elayja LoL,227280883,255000,1366,231795,7782,356,11501865,719209,439,0,231795
Godzu,351514281,1040000,4363,263464,7344,131,21641719,200437,101,0,263464
Werlyb,355585597,581000,2794,214556,9609,162,9380603,292183,238,0,214556
T1 Faker,289439867,2110000,1453,302724,6127,158,13975200,113515,41,0,302724
LJ LEAGUE Official Channel,381959111,5210,397,10549,23,3,3280066,1602010,63,0,10549
Psychopathic Poro,313235466,31800,291,34692,1153,199,9855537,863165,522,3,34692
Heizman,335766484,294000,1260,60468,1747,198,25640589,162730,85,0,60468
League Of Fails,320002837,77700,1160,30279,223,3,3452905,308327,41,0,30279
Tobias Fate,309346188,898000,475,704808,33670,782,18892447,620992,540,0,704808
Trần Hướng N Đ,261306608,344,698,2967,14,0,3771661,6824186,586,0,2967
TC Zwag,227519703,839000,2566,138549,3724,172,1804801,130657,63,0,138549
MLBB eSports,265942508,2400000,6890,47895,2144,35,5812290,15789,12,0,47895
JLXP - The Josh Leesman Experience,196828992,35000,195,36083,1103,217,481709,815692,454,2,36083
Libra CN LOL ,97110251,32700,6296,12436,141,12,9522583,300901,62,0,12436
Kitboga,276963027,3890000,563,400572,11571,875,0,81474,42,0,400572
For Fun Squad,165039052,193000,1355,81818,3471,148,13681892,335415,259,0,81818
LOL Collection,411738870,21600,193,131770,6621,60,3025513,4826747,4418,1,131770
i0ki,317391159,157000,3264,41246,1061,114,3910050,207861,97,0,41246
loltyler1,375604469,2740000,1938,146448,3087,202,2199159,42288,16,0,146448
Dplus Kia,400809452,239000,1468,77015,927,32,9331204,254958,55,0,77015
BIZYZE Coaching | League of Legends,375710298,16300,1974,15842,372,19,10808219,768978,328,0,15842
LOL Daily Dose,142216719,6640,90,3105,30,1,712701,369986,65,0,3105
slimewire,154241435,140000,48,148661,6407,445,5003138,840157,659,1,148661
Hanwha Life Esports,253210217,301000,1384,73334,1380,29,25510142,192766,66,0,73334
Untara,287796244,272000,1057,87719,1118,30,25966803,255162,59,0,87719
CN Streamers LOL,97110160,49000,7893,46420,481,16,7104570,749550,141,0,46420
Caedrel Clips,141056268,178000,5889,144130,4223,259,7269173,640657,341,0,144130
Broken Support,146809735,53800,725,10937,355,106,15023249,160845,95,0,10937
O que não fazer no League of Legends,436807998,56,19,95,19,1,851219,1342231,4890,8,95
League of Legends Coaching | LoL Coaching - NEACE,163480861,108000,895,25615,633,53,2795735,187655,84,0,25615
リーグ・オブ・レジェンド,365098341,122000,854,261060,1875,64,32390802,1693059,221,0,261060
LOL TIME,201816640,98900,1527,6391,72,1,1651854,51128,10,0,6391
G2 League of Legends,125173525,127000,853,349896,11293,206,8728578,2179852,1281,0,349896
El Capibe,91973261,31100,111,52100,2854,31,4387201,1325467,1322,0,52100
Coach Chippys,85715777,44900,267,64136,1549,129,3225601,1130179,497,1,64136
Quantum,256281952,116000,1983,154109,6196,68,9268805,1051142,769,0,154109
JaidenAnimations,383441692,15100000,252,37706559,849286,67366,38808690,1975748,810,2,37706559
LoL Esports VODs and Highlights,248425049,309000,11656,262005,2143,260,14044796,670876,99,0,262005
LOL TV,364394316,27600,449,8465,642,69,16157477,242666,335,1,8465
Elophobia,107664921,26200,1515,722590,16441,206,3380506,21821390,9045,3,722590
Phantasm,305622321,24900,358,16495,455,18,6076785,524136,263,0,16495
TaoWB,276516763,180000,1733,382030,6005,210,18626115,1679255,480,0,382030
Lourlo,288692312,122000,1245,362442,6720,87,3413000,2350555,793,0,362442
Zero LoL,44686885,65100,93,169595,5802,202,4595729,2061217,1284,1,169595
Agurin,110290285,73900,1811,498958,13828,74,5731455,5342091,2697,0,498958
League of SUPPORT - LOL Replays,162648005,33500,2968,3081,43,1,2869600,72767,18,0,3081
KneeCaps,344919294,419000,203,378429,26265,1712,25421069,714598,903,1,378429
Splinter - League of Legends,142524247,39300,437,50543,1556,43,6808387,1017560,570,0,50543
Zay Casting Channel,202529273,651000,3504,13171,258,1,6018209,16007,5,0,13171
xPetu,324931831,435000,553,1381171,47113,779,8929047,2512175,1561,0,1381171
Coach K,83937902,12300,390,12899,296,40,4647858,829741,346,1,12899
Alicopter,230424662,62600,580,68938,2891,20,8508442,871316,665,0,68938
Exil,354288039,379000,114,1369616,37979,3418,18610238,2859245,1444,4,1369616
Bjergsen,385796046,502000,154,500270,12182,713,27793003,788483,349,0,500270
Pokémon Asia ENG,176414565,8770000,1200,867960,0,14,15497210,78305,0,0,867960
Eternal Hero LoL,110885604,5120,292,7317,101,7,9704854,1130719,284,0,7317
League of Legends – Czech Republic,384594149,70500,734,20480,873,55,24361240,229843,178,0,20480
NBA 2K League,251471255,104000,170,796,15,2,1203312,6055,2,0,796
Kombo,304861030,756000,79,1310772,41911,1082,7364500,1371819,799,0,1310772
Bibou - League of Legends,65384419,2320,188,6221,54,1,2130995,2121602,335,0,6221
Mobile Legends: Bang Bang,307587385,17500000,5063,342366,4187,87,8996822,15479,3,0,342366
LoL Esports,427268145,3920000,12539,4907721,87006,1532,25967624,990570,319,0,4907721
Naayil,133329901,265000,1811,650134,25147,285,6438009,1941103,1367,0,650134
League of Legends - France,402141953,236000,1278,803984,7351,350,27314553,2695424,448,0,803984
6pek,86355272,126000,1135,1061360,23571,205,5787435,6664751,2696,0,1061360
Doaenel ,181619094,658000,2410,111968,5252,497,2687140,134635,115,0,111968
Sinerias,323077387,58100,2068,27535,707,41,7889902,374973,175,0,27535
IWDominate,412245541,438000,3578,704879,14816,117,5705744,1273304,487,0,704879
Jynxzi,196579286,6290000,2009,624781,13729,760,2371344,78590,31,0,624781
loltyler1 VODS,282590348,169000,1507,252835,4956,233,21352258,1183701,422,0,252835
Yassuo,312727892,1430000,1193,582360,17117,836,32370040,322216,172,0,582360
domisumReplay: Veigar,73323957,803,1792,83,1,0,2632961,81781,17,0,83
T90Official - Age Of Empires 2,354599147,395000,3154,127564,2217,168,40805571,255518,80,0,127564
JB Sniper (Mano Jeibilson),433499160,153000,1004,263684,20465,291,4166190,1363590,1927,0,263684
Emiru,403843839,1580000,1909,1035443,36078,459,26423352,518514,329,0,1035443
Daveyx3 Gameplay,220791401,155000,2432,407192,11153,70,10609598,2078544,1037,0,407192
"kenami 【トリンダメア,League of Legends】",52320706,1210,231,3200,31,5,5453233,2092456,369,1,3200
LCK Global,228598076,798000,7426,282053,1695,46,105406,279653,30,0,282053
Zwagmo,177926957,221000,1584,79712,1913,79,1584400,285379,124,0,79712
Koalachan - League of legends,214646050,1760,25,3404,67,6,4113811,1530272,548,1,3404
Coach Mysterias,154200988,26000,276,62019,1948,226,2841997,1887309,1079,4,62019
Moonveill,185723972,410,34,783,56,3,1939083,1511018,1968,3,783
MaYI way,72216890,728,180,8942,15,5,2124637,9718406,296,3,8942
Kairi Official,177806388,1450000,360,183462,3779,122,14246183,100108,37,0,183462
Fierik - LOL,301083176,72000,5554,11330,521,8,12573583,124505,104,0,11330
Viper,304126630,81800,908,9816,206,15,8169508,94945,36,0,9816
Văn Tùng,230645525,656000,5623,136549,1209,10,4915397,164693,26,0,136549
Totss,131072445,90500,204,125095,2864,157,12266349,1093662,456,0,125095
Super Carry,367690899,223000,18530,1411,13,0,5624102,5006,0,0,1411
TrendMedia LLC,3224952,1420,10,1301,52,0,60255,724904,527,0,1301
Příběhy Runeterry,155458960,37100,315,37063,2267,122,15543046,790420,880,1,37063
WolfeyVGC,458638583,2200000,1369,5423171,275767,2181,15550422,1950394,1806,0,5423171
Teemo vs All,401484489,438000,791,159252,5472,138,42141511,287675,180,0,159252
이렐킹 IRELKING,153259304,334000,748,1722436,23470,503,7998163,4080265,1012,0,1722436
ETVN League of Legends,271565420,177,407,349,3,0,11780309,1560069,244,0,349
MiniminterClips,197479350,1590000,2660,139088,4320,119,18914361,69212,39,0,139088
scarra,361938166,755000,2087,106963,3134,35,14327200,112092,59,0,106963
Solarbacca,362837833,323000,2172,334472,12016,130,13496647,819311,536,0,334472
LCK,228598138,1710000,13005,1263803,0,366,9142405,584756,0,0,1263803
League of Legends,541842718,16000000,1708,151050151,1652661,61944,40686373,7469524,1488,1,151050151
LCS,168693031,256000,2430,1276090,22624,126,7123348,3943965,1273,0,1276090
LL Stylish,386469639,855000,952,183515,6089,179,26736368,169823,102,0,183515
domisumReplay: Ambessa,46381474,2050,1224,285,2,0,1517991,109997,14,0,285
humzhlol,190446156,93300,729,137833,3259,50,11222555,1168862,503,0,137833
KayPea,398993592,584000,690,110352,2176,73,32755352,149506,53,0,110352
RonaldOMG,320973176,4420000,1982,916875,10599,149,21858071,164126,34,0,916875
Phreak,379027053,93900,474,27260,883,259,30253204,229695,135,1,27260
PlayersHUB,302613414,86700,5009,10954,410,57,31167838,99964,68,0,10954
LilyPichu VODs,197723219,178000,643,10671,180,8,15531605,47432,14,0,10671
Gaming Family - League Of Legends,93617365,109,50,7833,159,8,6194458,56858237,21025,35,7833
Fragola,338629232,26100,10,3296,196,12,2217998,99916,108,0,3296
KatEvolved,299518373,410000,576,351315,11961,191,25438812,677960,420,0,351315
Dun,258023479,38800,206,17115,328,14,14872646,349009,121,0,17115
League of Legends - Polska,392905198,215000,1330,38909,1734,127,23554348,143186,116,0,38909
Rival,404316333,182000,667,136846,6555,791,10905600,594911,519,2,136846
NattyNatt,153407444,99100,425,222126,5998,273,5750557,1773444,872,1,222126
Jankos,330772904,383000,1694,995469,33392,392,6768108,2056462,1256,0,995469
Shyvadi,175349134,3720,94,16688,578,82,12153297,3549385,2239,10,16688
Moshima,161453326,74000,220,35258,1873,44,13291879,376979,364,0,35258
Big Bad Bear,169776188,94400,1455,24041,684,130,1445808,201498,104,0,24041
Harris Caine【EOS】,144254462,1330000,1118,19463,1862,50,325420,11578,20,0,19463
LEC,168693049,420000,2593,282356,7416,57,6403254,531911,254,0,282356
The Radioativo LoL,218159106,52200,2858,18793,1232,161,1107199,284850,340,1,18793
Karasmai,246500850,294000,2526,155743,6940,99,9198591,419134,340,0,155743
ZOSER,275060444,5170,1197,1234,70,13,6366813,188849,195,1,1234
League of Legends Coaching & VOD Reviews - Myga,118073467,173,20,209,8,2,4861551,955854,666,5,209
TBSkyen Shorts,162197040,680000,1735,1114625,76911,797,13320430,1296915,1630,0,1114625
theScore esports,345114134,2390000,7705,1101112,25064,910,30278391,364523,151,0,1101112
Alliyan LoL Channel,458577041,56700,260,67881,458,45,13813902,947233,116,0,67881
Thebausffs,225458810,1070000,1142,803790,23523,430,10992806,594361,316,0,803790
Nhỏ Mà Nhớ,236659639,7450,21,648,8,0,2916398,68819,15,0,648
Ruddy,121189612,27400,166,84690,2857,104,4721613,2445531,1502,1,84690
LoL Dobby,179409918,298000,307,140799,3265,241,1783126,373830,157,0,140799
Hans sama,319280551,24000,26,21353,629,18,23624576,703946,377,0,21353
Kaostanza,145198158,24100,300,11237,321,18,10247042,368913,191,0,11237
OPEN SHARING CHANNEL,245981673,668000,3798,31387,1062,320,17746927,37176,22,0,31387
The PWHL,83162214,242000,1168,2295,97,16,9265505,7503,5,0,2295
BunnyFuFuu,332927571,1580000,1533,335412,9911,720,20561139,167962,90,0,335412
TøBãñG ,178320361,97,17,147,15,0,3563223,1199050,2228,0,147
League of Legends Rage,134649050,96,138,1311,28,1,259075,10804961,4204,5,1311
Tarzaned,304536139,249000,1268,63297,969,49,19507172,201129,56,0,63297
LoL Esports VN,108632899,861000,3047,931401,8464,101,10675840,855904,141,0,931401
Synapse,486283928,731000,2796,92546,2636,84,2638985,100168,51,0,92546
LOL League of Legends,294317505,209,78,22,1,0,1186550,83285,68,0,22
100 Thieves League of Legends,141303919,35000,190,2788183,43011,298,8604245,63029664,17713,4,2788183
Tech Mahindra Global Chess League,94595199,20300,812,715289,121,3,7956609,27879005,85,0,715289
Nakama Channel,326247829,102000,4256,15246,277,34,28201598,118262,39,0,15246
Kinkymation,117002496,188000,971,104422,4256,342,8259762,439466,326,0,104422
Bang,289439675,204000,679,12556,90,19,4140999,48698,6,0,12556
